orf6.10	C6_01190C_A	VPS15	Protein involved in retrograde endosome-to-Golgi protein transport; required for normal virulence	autophagy of peroxisome||inositol lipid-mediated signaling||late endosome to vacuole transport||macroautophagy||pathogenesis||positive regulation of transcription elongation from RNA polymerase II promoter||protein phosphorylation||protein retention in Golgi apparatus||protein targeting to vacuole||retrograde transport, endosome to Golgi||vacuole inheritance	nucleus-vacuole junction||phosphatidylinositol 3-kinase complex, class III, type I||phosphatidylinositol 3-kinase complex, class III, type II||vacuole-isolation membrane contact site	ATP binding||protein serine/threonine kinase activity||ubiquitin binding
orf6.8703	C3_00060W_A	TLO7	Member of a family of telomere-proximal genes of unknown function; may be spliced in vivo; rat catheter biofilm repressed	biological_process	cellular_component	molecular_function
orf6.8704	C3_00050C_A		Predicted ORF from Assembly 19; removed from Assembly 20; restored based on transcription data; almost identical to orf19.6113, orf19.4055, orf19.5370	biological_process	cellular_component	molecular_function
orf6.8705	orf19.6614	HPR5	Protein similar to S. cerevisiae Hpr5p DNA helicase of DNA repair; transposon mutation affects filamentous growth; clade-associated gene expression; removed from Assembly 20	cellular response to biotic stimulus||cellular response to starvation||filamentous growth||filamentous growth of a population of unicellular organisms in response to starvation		
orf6.8708	C3_00040W_A		Protein of unknown function	biological_process	cellular_component	molecular_function
orf6.871	C6_02560W_A		Putative oxidoreductase; protein levels affected by URA3 expression in CAI-4 strain background; Efg1, Efh1 regulated; Rgt1-repressed; protein present in exponential and stationary growth phase yeast; rat catheter biofilm repressed	NADPH regeneration	cellular_component	oxidoreductase activity
orf6.8710	orf19.6614	HPR5	Protein similar to S. cerevisiae Hpr5p DNA helicase of DNA repair; transposon mutation affects filamentous growth; clade-associated gene expression; removed from Assembly 20	cellular response to biotic stimulus||cellular response to starvation||filamentous growth||filamentous growth of a population of unicellular organisms in response to starvation		
orf6.8711	C3_00020W_A		Sef1p-, Sfu1p-, and Hap43p-regulated gene	biological_process	cellular_component	molecular_function
orf6.8712	CR_00670C_A		Putative 2'-O-methyltransferase with a predicted role in tRNA modification; transcription is activated in the presence of elevated CO2	tRNA methylation	cellular_component	tRNA 2'-O-methyltransferase activity
orf6.8715	CR_00660W_A		Ortholog(s) have role in ascospore wall assembly and ascospore wall, nuclear envelope localization	ascospore wall assembly||proteolysis	ascospore wall||nuclear envelope	serine-type endopeptidase activity
orf6.8716	CR_00650W_A		Putative subtilisin-family protease; mutation confers hypersensitivity to toxic ergosterol analog	cellular response to drug||negative regulation of catalytic activity||proteolysis	cellular_component	identical protein binding||serine-type endopeptidase activity
orf6.8718	CR_00640W_A	ACC1	Putative acetyl-coenzyme-A carboxylases; regulated by Efg1; amphotericin B repressed; caspofungin repressed; 5'-UTR intron; gene used for strain identification by multilocus sequence typing; Hap43-induced; flow model biofilm repressed	long-chain fatty acid biosynthetic process||protein import into nucleus	endoplasmic reticulum membrane	ATP binding||acetyl-CoA carboxylase activity||biotin carboxylase activity
orf6.872	C6_02550W_A		Ortholog of <i>C. dubliniensis CD36</i> : Cd36_62790, <i>C. parapsilosis CDC317</i> : CPAR2_601680, <i>Candida tenuis NRRL Y-1498</i> : cten_CGOB_00252 and <i>Debaryomyces hansenii CBS767</i> : DEHA2A06622g	biological_process	cellular_component	molecular_function
orf6.8720	CR_00630W_A		Putative transcriptional activator; expression upregulated during growth in the mouse cecum; Spider biofilm induced	cellular response to oxidative stress||chronological cell aging||positive regulation of transcription by RNA polymerase II||regulation of transcription from RNA polymerase II promoter in response to biotin starvation	nucleus	DNA-binding transcription factor activity, RNA polymerase II-specific||RNA polymerase II regulatory region sequence-specific DNA binding
orf6.8721	CR_00620C_A	ARG1	Argininosuccinate synthase; arginine synthesis; Gcn4, Rim101 regulated; induced by amino acid starvation (3-AT), benomyl treatment; stationary phase enriched protein; repressed in alkalinizing medium; rat catheter, Spider biofilm induced	arginine biosynthetic process	cytosol	ATP binding||argininosuccinate synthase activity
orf6.8724	CR_00610W_A	IFF4	Adhesin-like cell surface protein; putative GPI-anchor; null mutant germ tubes show decreased adhesion to plastic substrate; mutants are viable; Hap43-repressed gene	cell-substrate adhesion||pathogenesis	cell surface||fungal-type cell wall	molecular_function
orf6.8725	CR_00600C_A		Ortholog(s) have role in endocytosis and actin cortical patch localization	endocytosis	actin cortical patch	molecular_function
orf6.8727	CR_00590W_A	PHO81	Protein involved in regulation of hyphal development; required for response to farnesoic acid; possibly adherence-induced	cellular response to heat||filamentous growth||filamentous growth of a population of unicellular organisms||filamentous growth of a population of unicellular organisms in response to heat||lipid metabolic process||negative regulation of filamentous growth of a population of unicellular organisms||negative regulation of filamentous growth of a population of unicellular organisms in response to heat||phosphate-containing compound metabolic process||positive regulation of phosphatase activity	nucleus	cyclin-dependent protein serine/threonine kinase inhibitor activity||phosphoric diester hydrolase activity
orf6.8729	CR_00580W_A	YRB1	Functional homolog of S. cerevisiae Yrb1p; regulates Gsp1 GTPase activity and thereby affects nucleocytoplasmic transport and cytoskeletal dynamics; transcript is not regulated by white-opaque switch or by dimorphic transition	G1/S transition of mitotic cell cycle||RNA export from nucleus||microtubule cytoskeleton organization||nucleocytoplasmic transport||protein import into nucleus||small GTPase mediated signal transduction||ubiquitin-dependent protein catabolic process	cytoplasm||cytosol||nucleus	GTPase activator activity||GTPase activator activity||Ran GTPase binding
orf6.873	C6_02540C_A		Ortholog of <i>C. dubliniensis CD36</i> : Cd36_62780, <i>C. parapsilosis CDC317</i> : CPAR2_601690, <i>Candida tenuis NRRL Y-1498</i> : CANTEDRAFT_113271 and <i>Debaryomyces hansenii CBS767</i> : DEHA2A06644g	biological_process	cellular_component	molecular_function
orf6.8730	CR_00570W_A		Ortholog(s) have di-trans,poly-cis-decaprenylcistransferase activity, trans-hexaprenyltranstransferase activity and role in farnesyl diphosphate biosynthetic process, mevalonate pathway, ubiquinone biosynthetic process	farnesyl diphosphate biosynthetic process, mevalonate pathway||ubiquinone biosynthetic process	decaprenyl diphosphate synthase complex||mitochondrion	di-trans,poly-cis-decaprenylcistransferase activity||trans-hexaprenyltranstransferase activity
orf6.8731	CR_00560W_A	NTH1	Neutral trehalase; hyphal induction in mutant delayed but not reduced overall; not required for virulence in mice; possible regulatory cAMP-dependent phosphorylation at S10,S213; Hap43-repressed gene; Spider biofilm induced	ascospore formation||cellular response to desiccation||trehalose catabolic process||trehalose catabolic process involved in cellular response to stress	cytosol	alpha,alpha-trehalase activity||calcium ion binding||trehalase activity
orf6.8732	CR_00550W_A		Putative protein of unknown function; transcript is upregulated in clinical isolates from HIV+ patients with oral candidiasis	biological_process	cellular_component	molecular_function
orf6.8733	CR_00540C_A	MDH1	Mitochondrial malate dehydrogenase; regulated by Mig1, Tup1, white-opaque switch, phagocytosis; induced in high iron; antigenic during murine and human infection; repressed in Spider biofilms by Bcr1, Tec1, Ndt80, Rob1, Brg1	gluconeogenesis||malate metabolic process||protein import into peroxisome matrix||tricarboxylic acid cycle	cytosol||glyoxysome||mitochondrion||nuclear periphery	L-malate dehydrogenase activity||malate dehydrogenase activity
orf6.8734	CR_00530W_A		Ortholog of <i>C. parapsilosis CDC317</i> : CPAR2_803740, <i>C. dubliniensis CD36</i> : Cd36_25640, <i>Lodderomyces elongisporus NRLL YB-4239</i> : LELG_00467 and <i>Candida orthopsilosis Co 90-125</i> : CORT_0A03760	biological_process	cellular_component	molecular_function
orf6.8735	CR_00520C_A	CRM1	Functional homolog of S. cerevisiae Crm1, which acts in protein nuclear export; predicted to be resistant to antifungal drug leptomycin B; partially suppresses signal transduction defects of S. cerevisiae ste20 mutant	cellular response to oxidative stress||mRNA export from nucleus||protein export from nucleus||protein localization to kinetochore||ribosomal large subunit export from nucleus	kinetochore||nuclear periphery||nuclear pore||spindle pole body	Ran GTPase binding||nuclear export signal receptor activity||protein transporter activity
orf6.8736	CR_00510C_A	ADE1	Phosphoribosylaminoimadazole succinocarboxamide synthetase, enzyme of adenine biosynthesis; not induced in GCN response, unlike the S. cerevisiae ortholog; fungal-specific (no human or murine homolog); levels decrease in stationary phase	'de novo' IMP biosynthetic process||adenine biosynthetic process||fumarate metabolic process	cellular_component	ATP binding||phosphoribosylaminoimidazolesuccinocarboxamide synthase activity
orf6.8737	CR_00490W_A		Putative mitochondrial ribosomal protein of the large subunit; Hap43p-repressed gene; ortholog of S. cerevisiae MRPL9	translation	mitochondrial large ribosomal subunit||mitochondrial membrane	structural constituent of ribosome
orf6.8738	CR_00480W_A	MRPL6	Putative mitochondrial ribosomal protein	translation	mitochondrial large ribosomal subunit	rRNA binding||structural constituent of ribosome
orf6.8739	CR_00470W_A		Has domain(s) with predicted RNA binding, RNA-directed DNA polymerase activity and role in RNA-dependent DNA biosynthetic process	RNA-dependent DNA biosynthetic process	cellular_component	RNA binding||RNA-directed DNA polymerase activity
orf6.874	C5_04100W_A	CDS1	Protein similar to S. cerevisiae Cds1p; transposon mutation affects filamentous growth	CDP-diacylglycerol biosynthetic process||cellular response to biotic stimulus||cellular response to starvation||filamentous growth||filamentous growth of a population of unicellular organisms in response to biotic stimulus||filamentous growth of a population of unicellular organisms in response to starvation||phosphatidylinositol metabolic process||phosphatidylserine metabolic process	Golgi to plasma membrane transport vesicle||endoplasmic reticulum||membrane	phosphatidate cytidylyltransferase activity
orf6.8740	CR_00460C_A		Component of the SSU processome; predicted role in pre-18S rRNA processing; Spider biofilm induced	rRNA processing||ribosomal small subunit biogenesis	Mpp10 complex||small-subunit processome	rRNA binding||snoRNA binding
orf6.8741	CR_00440C_A	LRG1	Putative GTPase activator (GAP) for small GTPase Rho1p, involved in signaling pathway that controls morphogenesis in response to environmental signals	actin cortical patch localization||actin cytoskeleton organization||cytogamy||fungal-type cell wall biogenesis||negative regulation of Rho protein signal transduction||negative regulation of protein kinase C signaling||positive regulation of GTPase activity||regulation of cell shape||regulation of cell wall (1->3)-beta-D-glucan biosynthetic process||regulation of fungal-type cell wall organization||signal transduction	cellular bud neck||cellular bud tip||incipient cellular bud site||mating projection tip	GTPase activator activity||zinc ion binding
orf6.8742	CR_00420W_A		Predicted membrane transporter; fucose:proton symporter family member, MFS superfamily; flow model biofilm induced	transmembrane transport	integral component of membrane||membrane	molecular_function
orf6.8743	CR_00410W_A	RTT109	Histone acetyltransferase, mutants are sensitive to DNA damage, show decreased virulence in mice, decreased white-to-opaque switching and increased susceptibility to killing by macrophages	chromatin silencing at centromere||filamentous growth||filamentous growth of a population of unicellular organisms||histone H3-K56 acetylation||histone acetylation||maintenance of rDNA||negative regulation of filamentous growth of a population of unicellular organisms||negative regulation of transposition, RNA-mediated||pathogenesis||phenotypic switching||regulation of double-strand break repair via nonhomologous end joining||regulation of phenotypic switching||regulation of transcription from RNA polymerase II promoter in response to stress||replication-born double-strand break repair via sister chromatid exchange	nucleus	H3 histone acetyltransferase activity||histone acetyltransferase activity (H3-K56 specific)
